latitude;longitude;GoPlaceIt_CL;PortalInmobiliario;Yapo
-39.8535713;-73.2094554;;1.0;
-36.5993404;-72.1163367;;1.0;
-36.1319466;-71.8154487;;1.0;
-34.8858011;-56.1007775;;;1.0
-34.1768748;-70.6952528;;1.0;
-34.1653538;-70.7719167;;2.0;
-33.815805;-70.6708426;;;1.0
-33.7363006;-70.7155372;;1.0;
-33.7356959;-70.7182479;;1.0;
-33.7351358;-70.7161406;;1.0;
-33.7337846;-70.7621538;;1.0;
-33.6759751;-71.1722786;;1.0;
-33.6297583;-70.629374;;;4.0
-33.6280751;-70.5909316;;;4.0
-33.6205049;-70.5900981;;;1.0
-33.619787;-70.5818326;;;1.0
-33.61943;-70.57599;;;1.0
-33.6183172;-70.5759148;;;1.0
-33.6167261;-70.6262751;;;2.0
-33.61617;-70.59362;;;1.0
-33.61577;-70.59467;;;1.0
-33.61533;-70.5914;;;1.0
-33.614551;-70.5845734;;;1.0
-33.61419042277553;-70.69036960601807;;;1.0
-33.610122;-70.5919559;1.0;;1.0
-33.6099525;-70.5753824;;;1.0
-33.60984;-70.71118;;;1.0
-33.6095404;-70.5860469;1.0;;
-33.6088721;-70.5147753;;;1.0
-33.6085292;-70.7023254;;;1.0
-33.60831;-70.70228;;;1.0
-33.60747;-70.57349;;;1.0
-33.60561258349119;-70.66869735717773;;;1.0
-33.6054159;-70.5785291;;;1.0
-33.60536;-70.70126;;;1.0
-33.60511;-70.70538;;;1.0
-33.6040249;-70.5787838;;;1.0
-33.6038567;-70.5784978;;;7.0
-33.6016808;-70.5693447;;;1.0
-33.6009212;-70.6987715;;;1.0
-33.59881;-70.69067;;;2.0
-33.59846;-70.58398;;;1.0
-33.59842;-70.70305;;;1.0
-33.5980011;-70.5842981;1.0;;
-33.5977112;-70.5320273;1.0;;
-33.5972506;-70.7074834;;;1.0
-33.59695;-70.70759;;;2.0
-33.59649;-70.70961;;;1.0
-33.59491;-70.70894;;;1.0
-33.59384;-70.5876;;;1.0
-33.593432;-70.7024824;;;1.0
-33.59337;-70.70288;;;1.0
-33.59209;-70.55371;;;2.0
-33.5916618;-70.6932009;;;1.0
-33.5913862;-70.6931349;;;1.0
-33.5913755;-70.7115012;;;1.0
-33.5899382;-70.68744149999999;;;14.0
-33.589150000000004;-70.61766;;;1.0
-33.5823357;-70.5834726;1.0;;
-33.58173;-70.68016;;;1.0
-33.5786423;-70.5482464;;;1.0
-33.578225;-70.69863;;;1.0
-33.576799;-70.6983565;;;2.0
-33.5725205;-70.8228227;3.0;;
-33.5707366;-70.5407846;;;1.0
-33.5665221;-70.5798055;;;1.0
-33.5661816;-70.6612862;;;1.0
-33.56298;-70.67593;;;1.0
-33.5614681;-70.5814515;1.0;;
-33.5613394;-70.786544;1.0;;
-33.55664;-70.57195;;;1.0
-33.55232;-70.66283;;;1.0
-33.55053;-70.79766;;;2.0
-33.5504264;-70.5895881;;;1.0
-33.55036;-70.5892;;;1.0
-33.55032;-70.68071;;;1.0
-33.5499032;-70.5818433;;;1.0
-33.5498551;-70.5832177;;;1.0
-33.54985;-70.58413;;;1.0
-33.5497362;-70.6586456;;;1.0
-33.5489205;-70.6332918;3.0;;
-33.5480462;-70.6821136;;;3.0
-33.5470017;-70.5939672;1.0;;1.0
